     35.000     5.74600     236.500 1.759731E+17 1.380096E+12 3.680490E+16 8.628900E+11 5.811300E+13 1.282008E+09
     32.500     8.25725     229.588 2.605019E+17 1.860945E+12 5.275160E+16 1.217830E+12 8.329200E+13 1.819804E+09
     30.000    11.97000     226.500 3.827699E+17 2.509799E+12 8.004700E+16 1.809675E+12 1.263900E+14 2.359280E+09
     27.500    17.43000     224.000 5.635873E+17 3.272892E+12 1.178760E+17 2.580300E+12 1.861200E+14 2.712840E+09
     25.000    25.49000     221.600 8.331283E+17 4.266877E+12 1.742433E+17 3.689123E+12 2.751210E+14 3.118038E+09
     24.000    29.72000     220.600 9.757872E+17 4.518265E+12 2.040885E+17 4.198950E+12 3.222450E+14 2.988090E+09
     23.000    34.67000     219.600 1.143492E+18 4.768192E+12 2.390960E+17 4.804800E+12 3.775200E+14 2.951520E+09
     22.000    40.47000     218.600 1.340895E+18 4.894274E+12 2.804780E+17 5.455230E+12 4.428600E+14 2.898720E+09
     21.000    47.29000     217.600 1.574064E+18 4.769100E+12 3.291750E+17 6.260625E+12 5.197500E+14 2.772000E+09
     20.000    55.29000     216.700 1.847990E+18 4.768571E+12 3.864410E+17 7.211100E+12 6.101700E+14 2.570110E+09
     19.000    64.67000     216.700 2.161503E+18 4.390890E+12 4.520670E+17 8.327550E+12 7.137900E+14 2.292780E+09
     18.000    75.65000     216.700 2.528494E+18 4.015110E+12 5.287700E+17 9.677249E+12 8.349000E+14 1.950630E+09
     17.000    88.50000     216.700 2.957987E+18 3.513520E+12 6.186399E+17 1.139600E+13 9.768000E+14 1.536240E+09
     16.000   103.50000     216.700 3.459340E+18 3.012286E+12 7.235580E+17 1.367490E+13 1.142460E+15 1.104378E+09
     15.000   121.10000     216.700 4.047595E+18 2.634525E+12 8.464500E+17 2.025000E+13 1.336500E+15 6.925500E+08
     14.000   141.70000     216.700 4.736121E+18 2.383717E+12 9.904510E+17 2.808805E+13 1.563870E+15 3.544772E+08
     13.000   165.80000     216.700 5.541629E+18 2.132992E+12 1.159114E+18 6.017410E+13 1.830180E+15 2.467970E+08
     12.000   194.00000     216.700 6.484174E+18 2.008345E+12 1.356201E+18 1.236803E+14 2.141370E+15 2.044035E+08
     11.000   227.00000     216.800 7.583652E+18 1.630876E+12 1.586101E+18 2.741906E+14 2.504370E+15 1.988318E+08
     10.000   265.00000     223.300 8.595457E+18 1.129443E+12 1.797818E+18 6.017959E+14 2.838660E+15 2.047276E+08
      9.000   308.00000     229.700 9.711841E+18 8.910379E+11 2.031271E+18 1.538518E+15 3.207270E+15 2.254808E+08
      8.000   356.50000     236.200 1.093179E+19 6.526804E+11 2.286460E+18 4.011698E+15 3.610200E+15 2.516200E+08
      7.000   411.10001     242.700 1.226845E+19 6.151052E+11 2.566520E+18 7.024160E+15 4.052400E+15 2.824400E+08
      6.000   472.20001     249.200 1.372429E+19 5.645776E+11 2.869570E+18 1.270574E+16 4.530900E+15 3.157900E+08
      5.000   540.50000     255.700 1.531006E+19 5.772576E+11 3.201880E+18 2.140204E+16 5.055600E+15 3.523600E+08
      4.000   616.59998     262.200 1.703267E+19 5.771448E+11 3.561360E+18 3.677232E+16 5.623200E+15 3.919200E+08
      3.000   701.20001     268.700 1.890105E+19 6.274337E+11 3.952190E+18 6.017162E+16 6.240300E+15 4.349300E+08
      2.000   795.00000     275.200 2.092331E+19 6.778279E+11 4.376460E+18 9.697315E+16 6.910200E+15 4.816201E+08
      1.000   898.79999     281.700 2.310936E+19 6.779402E+11 4.834170E+18 1.404222E+17 7.632900E+15 5.319900E+08
      0.000  1013.00000     288.200 2.545818E+19 6.777680E+11 5.325320E+18 1.973426E+17 8.408400E+15 5.860400E+08
